Player,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
"Nicklas Bendtner

Arsenal, 32, FW",13(10),1228,6,5,2.3,0.8,0.4,0.6,0.3,2,-,7.01
"John Pantsil

Fulham, 39, D(R)",22,1900,-,1,0.4,0.4,0.9,1.2,-,0.6,-,7.00
"Gaël Givet

Blackburn, 38, D(C),DMC",33(1),2800,2,2,0.3,0.2,-,0.7,-,0.1,-,7.00
"Morten Gamst Pedersen

Blackburn, 39, M(C)",27(6),2424,3,7,1.8,1.8,0.1,1.1,0.4,1.5,-,7.00
"Stuart Holden

Bolton, 35, M(CR)",1(1),114,-,-,1.5,1,-,1,0.5,0.5,-,7.00
"Shaun Wright-Phillips

Man City, 38, M(LR)",19(11),1748,4,7,1.3,1.1,1.9,1.4,0.2,1.6,-,7.00
"Lee Bowyer

Birmingham, 43, AM(CR),FW",34(1),3011,5,2,1.3,0.8,0.2,1.8,0.1,1,-,7.00
"Lee Chung-Yong

Bolton, 32, M(CLR)",27(7),2414,4,3,0.8,1.6,1.2,1.2,0.1,1.6,-,7.00
"Valon Behrami

West Ham, 35, M(C)",24(3),2055,1,1,0.7,0.6,0.7,2.7,-,1.2,-,6.99
"Gary Neville

Man Utd, 45, D(R)",15(2),1355,-,1,0.2,0.8,0.1,0.8,0.1,0.2,-,6.99
"John Carew

Aston Villa, 41, AM(L),FW",22(11),2107,10,3,2,0.5,0.5,0.6,0.6,2.2,-,6.99
"Yossi Benayoun

Liverpool, 40, M(R)",19(11),1855,6,4,1.2,1.6,0.8,0.3,0.1,1.5,-,6.99
"Chris Baird

Fulham, 38, D(LR),DMC",29(3),2659,-,1,0.6,0.6,0.1,0.8,-,0.3,-,6.99
"Nigel de Jong

Man City, 35, M(C)",30(4),2631,-,-,0.4,0.4,0.2,1.3,-,0.7,-,6.98
"Pascal Chimbonda

Blackburn, 41, D(CR)",22(2),1974,1,1,0.3,0.3,0.5,1.3,-,0.7,-,6.97
"Luke Young

Aston Villa, 41, D(CR)",14(2),1288,-,-,0.3,0.4,0.3,0.4,0.1,0.5,-,6.97
"Kevin Doyle

Wolves, 36, M(C),FW",33(1),2899,9,1,2.4,0.9,1,2.4,0.5,2.8,-,6.96
"Hendry Thomas

Wigan, 35, M(C)",27(4),2339,-,-,0.6,0.4,-,1,-,0.6,-,6.96
"Matthew Etherington

Stoke, 39, M(L)",33(1),2894,5,8,0.9,2,0.7,1.1,0.2,1.3,-,6.95
"Aaron Hughes

Fulham, 40, D(CR)",34,3060,-,-,0.1,0.2,-,0.6,-,-,-,6.95
"Ben Watson

Wigan, 35, M(C)",4(1),336,1,-,1.2,1.4,0.4,-,0.2,1.4,-,6.95
"Jack Wilshere

Bolton, 28, M(CLR)",13(1),1093,1,1,1.2,1.4,1.3,2.4,-,1.6,-,6.95
"Michael Duff

Burnley, 42, D(C)",10(1),951,-,-,0.4,0.2,-,0.7,-,0.1,-,6.95
"Hugo Rodallega

Wigan, 35, AM(CL),FW",38,3323,10,4,3.7,1.6,0.8,1,0.4,2.1,-,6.95
"Gabriel Agbonlahor

Aston Villa, 33, AM(CLR),FW",35(1),3083,13,3,1.8,0.9,0.6,1.7,1,2.8,-,6.94
"Thomas Sørensen

Stoke, 44, GK",33,2867,-,-,-,0.1,0.1,0.3,-,-,-,6.94
"Paul Scharner

Wigan, 40, D(C)",30(8),2524,4,3,1.6,0.7,0.3,1,0.1,0.9,-,6.94
"Albert Riera

Liverpool, 38, D(L),M(L)",9(3),651,-,3,1.8,1.2,1.1,0.4,0.1,1.3,-,6.94
"Paulo Da Silva

Sunderland, 40, D(C)",12(4),1160,-,-,0.3,0.1,0.2,0.2,-,-,-,6.93
"Mark Schwarzer

Fulham, 47, GK",37,3330,-,-,-,-,-,0.2,-,-,-,6.93
"Jamie Carragher

Liverpool, 42, D(C)",37,3254,-,-,0.1,0.2,0.1,0.6,-,0.1,-,6.93
"Rio Ferdinand

Man Utd, 41, D(C)",12(1),1083,-,-,0.3,0.1,0.2,0.7,-,0.2,-,6.92
"Jack Collison

West Ham, 31, M(C)",19(3),1659,2,3,1.2,0.9,0.7,0.4,0.1,0.9,-,6.92
"Sebastian Larsson

Birmingham, 35, M(CR)",26(7),2382,4,2,1.2,1,0.5,0.7,0.1,1.1,-,6.92
"Kyle Walker

Tottenham, 30, D(CR),M(R)",2,180,-,-,-,1.5,1.5,3,0.5,-,-,6.92
"Tom Cairney

Hull, 29, M(CR)",10(1),900,1,-,0.8,1,1,1.3,-,1.8,-,6.91
"Tamir Cohen

Bolton, 36, M(CR)",26(1),2102,3,3,2.3,0.6,0.1,0.8,-,0.3,-,6.91
"Brad Friedel

Aston Villa, 49, GK",38,3420,-,-,-,0.1,-,0.1,-,-,-,6.91
"Sylvain Distin

Portsmouth, 42, D(C)",3,270,-,-,-,-,0.3,1,-,-,-,6.91
"Martin Olsson

Blackburn, 32, D(L),M(L)",19(2),1721,1,-,1.4,0.6,0.7,1.8,0.4,0.9,-,6.91
"Pepe Reina

Liverpool, 38, GK",38,3420,-,1,-,-,-,0.2,-,-,-,6.90
"Tomas Rosicky

Arsenal, 39, M(CR)",14(11),1299,3,4,1.6,1.1,0.9,1.4,-,1,-,6.90
"Craig Gordon

Sunderland, 37, GK",26,2317,-,-,-,-,-,0.2,-,-,-,6.89
